"f_m_id","sample_id","gender","age","nationality","q_401","q_501","q_602_val"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","12","المملكة العربية السعودية","مشتغل","نعم","55000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","26","باكستان","مشتغل","لا","12400"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","27","السودان","مشتغل","نعم","12800"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","28","أثيوبيا","مشتغل","لا","13200"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","29","المملكة العربية السعودية","مشتغل","نعم","59000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","30","المملكة العربية السعودية","مشتغل","لا","14000"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","31","باكستان","مشتغل","نعم","14400"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","13","السودان","مشتغل","لا","14800"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","33","أثيوبيا","مشتغل","نعم","58000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","34","المملكة العربية السعودية","مشتغل","لا","12000"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","35","المملكة العربية السعودية","مشتغل","نعم","12400"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","36","باكستان","مشتغل","لا","12800"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","37","السودان","مشتغل","نعم","57000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","38","أثيوبيا","مشتغل","لا","13600"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","14","المملكة العربية السعودية","مشتغل","نعم","14000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","25","المملكة العربية السعودية","مشتغل","لا","14400"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","26","باكستان","مشتغل","نعم","56000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","27","السودان","مشتغل","لا","15200"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","28","أثيوبيا","مشتغل","نعم","12000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","29","المملكة العربية السعودية","مشتغل","لا","12400"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","30","المملكة العربية السعودية","مشتغل","نعم","55000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","12","باكستان","مشتغل","لا","13200"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","32","السودان","مشتغل","نعم","13600"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","33","أثيوبيا","مشتغل","لا","14000"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","34","المملكة العربية السعودية","مشتغل","نعم","59000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","35","المملكة العربية السعودية","مشتغل","لا","14800"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","36","باكستان","مشتغل","نعم","15200"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","37","السودان","مشتغل","لا","12000"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","13","أثيوبيا","مشتغل","نعم","58000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","39","المملكة العربية السعودية","مشتغل","لا","12800"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","25","المملكة العربية السعودية","مشتغل","نعم","13200"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","26","باكستان","مشتغل","لا","13600"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","27","السودان","مشتغل","نعم","57000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","28","أثيوبيا","مشتغل","لا","14400"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","29","المملكة العربية السعودية","مشتغل","نعم","14800"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","14","المملكة العربية السعودية","مشتغل","لا","15200"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","31","باكستان","مشتغل","نعم","56000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","32","السودان","مشتغل","لا","12400"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","33","أثيوبيا","مشتغل","نعم","12800"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","34","المملكة العربية السعودية","مشتغل","لا","13200"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","35","المملكة العربية السعودية","مشتغل","نعم","55000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","36","باكستان","مشتغل","لا","14000"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","12","السودان","مشتغل","نعم","14400"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","38","أثيوبيا","مشتغل","لا","14800"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","39","المملكة العربية السعودية","مشتغل","نعم","59000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","25","المملكة العربية السعودية","مشتغل","لا","12000"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","26","باكستان","مشتغل","نعم","12400"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","27","السودان","مشتغل","لا","12800"
"معرّف فرد مسجّل","معرّف عيّنة","ذكر","28","أثيوبيا","مشتغل","نعم","58000"
"معرّف فرد مسجّل","معرّف عيّنة","أنثى","13","المملكة العربية السعودية","مشتغل","لا","13600"
"k9m_x2","pL3!n7","ذكر","31","qwerty بلد","مشتغل","لا","50100"
"zZ-881","id_أحمد","أنثى","44","asdf123","مشتغل","نعم","67340"
"7h4j2k","س_عينة01","ذكر","29","random نص","مشتغل","نعم","50000"
"m9##44","sample_X","أنثى","52","xyz السعودية","مشتغل","لا","89200"
"aa_bb_cc","8839201","ذكر","36","فوضى بيانات","مشتغل","لا","125000"
"n0n_s3ns3","qwqwqw","أنثى","27","test_بلاغ","مشتغل","نعم","54321"
