f_m_id,sample_id,gender,age,nationality,family_relation_desc,q_301_desc,q_401,q_501,q_602_val
1363029,8836108,1600001,11,1800001,1-رئيس الأسرة,ثانوي عام,98600001,80,52000
1363030,8836109,1600002,13,1800170,1-رئيس الأسرة,ثانوي عام,98600001,42,7800
1363031,8836110,1600001,14,1800210,17-ابن,دكتوراه في الطب,98600001,44,8600
1363032,8836111,1600002,15,1800067,3-زوجة,ماجستير إدارة أعمال,98600001,45,59500
1363033,8836112,1600001,16,1800001,1-رئيس الأسرة,بكالوريوس هندسة,98600001,46,10200
1363034,8836113,1600002,9,1800001,1-رئيس الأسرة,دبلوم تقني,98600001,38,11000
1363035,8836114,1600001,18,1800170,9-أخ,بكالوريوس طب,98600001,47,52000
1363036,8836115,1600002,20,1800210,5-ابنة,ثانوي عام,98600001,48,12600
1363037,8836116,1600001,28,1800067,1-رئيس الأسرة,بكالوريوس,98600001,43,13400
1363038,8836117,1600002,32,1800001,1-رئيس الأسرة,دبلوم,98600001,44,59500
1363039,8836118,1600001,11,1800001,1-رئيس الأسرة,ثانوي عام,98600001,40,7800
1363040,8836119,1600002,13,1800170,1-رئيس الأسرة,ثانوي عام,98600001,81,8600
1363041,8836120,1600001,14,1800210,17-ابن,دكتوراه في الطب,98600001,44,52000
1363042,8836121,1600002,15,1800067,3-زوجة,ماجستير إدارة أعمال,98600001,45,10200
1363043,8836122,1600001,16,1800001,1-رئيس الأسرة,بكالوريوس هندسة,98600001,46,11000
1363044,8836123,1600002,9,1800001,1-رئيس الأسرة,دبلوم تقني,98600001,38,59500
1363045,8836124,1600001,18,1800170,9-أخ,بكالوريوس طب,98600001,47,12600
1363046,8836125,1600002,20,1800210,5-ابنة,ثانوي عام,98600001,48,13400
1363047,8836126,1600001,28,1800067,1-رئيس الأسرة,بكالوريوس,98600001,43,52000
1363048,8836127,1600002,32,1800001,1-رئيس الأسرة,دبلوم,98600001,44,7800
1363049,8836128,1600001,11,1800001,1-رئيس الأسرة,ثانوي عام,98600001,40,8600
1363050,8836129,1600002,13,1800170,1-رئيس الأسرة,ثانوي عام,98600001,42,59500
1363051,8836130,1600001,14,1800210,17-ابن,دكتوراه في الطب,98600001,82,10200
1363052,8836131,1600002,15,1800067,3-زوجة,ماجستير إدارة أعمال,98600001,45,11000
1363053,8836132,1600001,16,1800001,1-رئيس الأسرة,بكالوريوس هندسة,98600001,46,52000
1363054,8836133,1600002,9,1800001,1-رئيس الأسرة,دبلوم تقني,98600001,38,12600
1363055,8836134,1600001,18,1800170,9-أخ,بكالوريوس طب,98600001,47,13400
1363056,8836135,1600002,20,1800210,5-ابنة,ثانوي عام,98600001,48,59500
1363057,8836136,1600001,28,1800067,1-رئيس الأسرة,بكالوريوس,98600001,43,7800
1363058,8836137,1600002,32,1800001,1-رئيس الأسرة,دبلوم,98600001,44,8600
1363059,8836138,1600001,11,1800001,1-رئيس الأسرة,ثانوي عام,98600001,40,52000
1363060,8836139,1600002,13,1800170,1-رئيس الأسرة,ثانوي عام,98600001,42,10200
1363061,8836140,1600001,14,1800210,17-ابن,دكتوراه في الطب,98600001,44,11000
1363062,8836141,1600002,15,1800067,3-زوجة,ماجستير إدارة أعمال,98600001,83,59500
1363063,8836142,1600001,16,1800001,1-رئيس الأسرة,بكالوريوس هندسة,98600001,46,12600
1363064,8836143,1600002,9,1800001,1-رئيس الأسرة,دبلوم تقني,98600001,38,13400
1363065,8836144,1600001,18,1800170,9-أخ,بكالوريوس طب,98600001,47,52000
1363066,8836145,1600002,20,1800210,5-ابنة,ثانوي عام,98600001,48,7800
1363067,8836146,1600001,28,1800067,1-رئيس الأسرة,بكالوريوس,98600001,43,8600
1363068,8836147,1600002,32,1800001,1-رئيس الأسرة,دبلوم,98600001,44,59500
1363069,8836148,1600001,11,1800001,1-رئيس الأسرة,ثانوي عام,98600001,40,10200
1363070,8836149,1600002,13,1800170,1-رئيس الأسرة,ثانوي عام,98600001,42,11000
1363071,8836150,1600001,14,1800210,17-ابن,دكتوراه في الطب,98600001,44,52000
1363072,8836151,1600002,15,1800067,3-زوجة,ماجستير إدارة أعمال,98600001,45,12600
1363073,8836152,1600001,16,1800001,1-رئيس الأسرة,بكالوريوس هندسة,98600001,84,13400
1363074,8836153,1600002,9,1800001,1-رئيس الأسرة,دبلوم تقني,98600001,38,59500
1363075,8836154,1600001,18,1800170,9-أخ,بكالوريوس طب,98600001,47,7800
1363076,8836155,1600002,20,1800210,5-ابنة,ثانوي عام,98600001,48,8600
1363077,8836156,1600001,28,1800067,1-رئيس الأسرة,بكالوريوس,98600001,43,52000
1363078,8836157,1600002,32,1800001,1-رئيس الأسرة,دبلوم,98600001,44,10200
