f_m_id,age,gender,nationality,marage_status,family_relation,q_301,q_537_e_job,q_602_val,q_534
TST-OK-001,35,ذكر,سعودي,متزوج,رب الأسرة,بكالوريوس,مهندس مدني,12000,حكومي
TST-OK-002,42,أنثى,سعودية,متزوجة,زوج / زوجة,دبلوم,محاسبة,9500,خاص
TST-ERR-AGE-EDU,16,أنثى,سعودية,أعزب,ابن / ابنة,بكالوريوس,طالبة جامعية,0,لا ينطبق
TST-ERR-SAL-HIGH,24,ذكر,سعودي,أعزب,رب الأسرة,ثانوي,معلم ابتدائي,52000,حكومي
TST-ERR-SAL-STU,19,ذكر,سعودي,أعزب,ابن / ابنة,ثانوي,طالب,81071,خاص
TST-ERR-AGE-BOUNDS,102,ذكر,سعودي,متزوج,رب الأسرة,بكالوريوس,محاسب,9000,حكومي
TST-ERR-SAL-NEG,31,أنثى,سعودية,متزوجة,زوج / زوجة,بكالوريوس,ممرضة,-1200,خاص
TST-OK-003,50,أنثى,سعودية,أرملة,رب الأسرة,ماجستير,موظفة إدارية,18000,حكومي
TST-ERR-AGE-MASTER,20,ذكر,سعودي,أعزب,رب الأسرة,ماجستير,محلل مالي,14000,خاص
TST-ERR-MISSING-GEN,33,,سعودي,متزوج,رب الأسرة,دبلوم,فني صيانة,7000,خاص
